Image Name,No of Obj,WARem_multiband,N-Cut,RAG Merging
0677845-r1-067-32_a,1,0.6641,0.6132,0.7926
100_0109,1,0.9259,0.2902,0.1813
100_0497,1,0.2772,0.2097,0.1819
110016671724,1,0.5933,0.179,0.0334
112255696146,1,0.3136,0.3312,0.2621
113334665744,1,0.8769,0.4137,0.2293
114591144943,1,0.7428,0.2679,0.1729
20060319_087,1,0.1724,-0.0121,0.0445
aaa,1,0.21,0.198,0.0402
animal_5_bg_020803,1,0.4158,0.289,0.1436
b14pavel013,1,0.2253,0.0235,0.1134
b19objects118,1,0.1437,0.1118,0.0847
b1chesnuttame,1,0.1202,0.1162,0.1342
b1snake001,1,0.1159,0.091,0.0509
b20nature_landscapes129,1,0.2546,0.3713,0.1944
b2chopper008,1,0.8634,0.7945,0.1899
b2pods001,1,0.0865,0.2014,0.1171
b4nature_animals_land009,1,-0.014,0.0073,0.2824
b7nature_trees002,1,0.3216,0.3612,0.2202
bbmf_lancaster_july_06,1,0.8775,0.8368,0.1219
beltaine_4_bg_050502,1,0.9003,0.1198,0.1089
boy_float_lake,1,0.3245,0.2377,0.0283
bream_in_basin,1,0.9543,0.9605,0.3537
broom07,1,0.1943,0.6989,0.5105
buggy_005,1,0.1884,0.0953,0.0828
bw4,1,0.5397,0.5732,0.4934
carriage,1,0.1958,0.1549,0.1173
carrigafoyle_castle_ext,1,0.2913,0.2694,0.2885
caterpiller,1,0.3583,0.1082,0.2794
chain98,1,0.9763,0.5948,0.414
chaom38,1,0.1971,0.0297,0.0378
cheeky_penguin,1,0.1124,0.1221,0.0939
crw_0384,1,0.4493,0.117,0.3877
culzeancastle,1,0.3311,0.3521,0.2938
dsc01236,1,-0.0134,0.4256,0.6638
dsc01239_d,1,0.0699,0.0783,0.0983
dsc04575,1,0.9668,0.9619,0.092
dscf0034_l,1,0.2153,-0.0848,0.1241
dscf0459,1,0.3395,-0.0326,0.3761
dscf3583,1,0.2183,0.4477,0.1663
dscf3623,1,0.5273,-0.0021,0.0592
dscf3772,1,-0.006,0.536,0.464
dscn0756,1,0.0336,0.1951,0.2326
dscn1908,1,0.5373,0.3981,0.3098
dscn2064,1,0.4973,0.5222,0.1647
dscn2154,1,0.1679,0.1368,-0.0273
dscn6805,1,0.1869,0.3752,0.3321
dsc_0769,1,0.5428,0.0673,0.0932
dsc_0959,1,0.5979,0.2316,0.3904
dsc_422910022,1,0.6004,0.84,0.5068
egret_face,1,0.9366,0.8788,0.7931
estb_img_6461_,1,0.5321,0.5901,0.483
europe_holiday_484,1,0.81,0.8831,0.6581
fullicewater,1,0.0797,0.312,0.3627
hot_air_balloons_05,1,0.4854,0.2755,0.228
hpim1242,1,0.1175,0.3754,0.0722
hpim5083_morguefile,1,0.465,0.2089,0.3497
imagen_072__1_,1,0.9259,0.6905,0.4252
imgp2712,1,0.2204,0.5052,0.1117
img_1516,1,0.3462,0.2192,0.1206
img_1965,1,0.689,0.5438,0.2254
img_2528,1,0.2743,0.2606,0.2754
img_2577,1,0.7045,0.1051,0.4218
img_2592_f,1,0.526,0.0329,0.0664
img_3083_modif,1,0.6279,0.1898,0.1911
img_3803,1,0.2023,0.1369,0.0807
img_4214,1,0.1692,0.3163,0.2805
img_4730_modif,1,0.2018,0.2143,0.0979
img_7359_copia,1,0.802,0.8151,0.7139
ireland_62_bg_061502,1,0.0385,-0.0839,-0.0311
kconnors030466,1,0.3809,0.5653,0.5637
leafpav,1,0.6103,0.815,0.5633
london_zoo3,1,0.0485,0.5631,0.548
matsumt060102_dyj08,1,0.1712,0.111,0.0774
mexico3,1,0.2837,0.2093,0.2574
moth061304_0679,1,0.9089,0.9079,0.2741
nitpix_p1280114,1,0.9595,0.9139,0.8406
osaka060102_dyjsn071,1,0.57,0.5944,0.2909
oscar2005_05_07,1,0.6472,0.5301,0.3427
outside_guggenheim_walls,1,0.9805,0.0211,0.9147
palovigna,1,0.3783,0.4897,0.3909
pic0203vn0092,1,0.4291,0.3401,0.5542
pic0203vn0105,1,0.7839,0.6548,0.6709
pic106470172014,1,0.034,0.1065,0.1152
pic1080629574,1,0.503,0.0926,0.3637
pic109250805856,1,0.8645,0.137,0.0698
pic1092515922117,1,0.5725,0.2744,0.1139
pict2272,1,0.7715,0.869,0.1276
pict2605,1,0.6559,0.2872,0.1266
picture_458,1,0.2507,0.879,0.2022
postjp,1,0.2777,0.3533,0.1496
redberry_rb03,1,0.8889,0.285,0.1309
san_andres_130,1,0.6522,0.1677,0.183
sg_01_img_1943_tratada,1,0.3168,0.1755,0.1454
sharp_image,1,0.3694,0.2678,0.2197
skookumchuk_starfish1,1,0.2915,0.0156,0.25
snow2_004,1,0.7069,0.3887,0.2715
tendrils,1,0.2493,0.3113,0.0627
windowcn_0078,1,0.2099,0.4105,0.3801
yokohm060409_dyjsn191,1,0.8667,0.0095,0.2047
00000155,2,0.1341,0.2458,0.0324
000_4009,2,0.0271,0.0768,0.2391
100_1219,2,0.9438,0.7324,0.7324
109300481333,2,0.8181,0.6145,0.3491
110932821430,2,0.6846,0.0167,0.2422
111876273311,2,0.8022,0.6084,0.5574
112224059330,2,0.2229,0.9047,0.7839
11257554021,2,0.7152,0.4459,0.4477
2_horses_cropped,2,0.1431,0.2312,0.3656
77200701,2,0.1171,0.1859,0.0876
alanmort_p1010058,2,0.8637,0.9048,0.5199
atlasredstone,2,0.3472,0.9064,0.1497
b10mechanics037,2,0.9386,0.8596,0.4159
b10nature_trees000,2,0.8607,0.507,0.2672
b13vehicles_land000,2,0.2901,0.2842,0.5702
b17leon000,2,0.0207,0.3717,0.0
b17maartent719,2,0.063,0.8591,0.6044
b17maartent850,2,0.1227,0.3674,0.2801
b17paul1444,2,0.662,0.3276,0.1553
b19nature_trees071,2,0.8352,0.6887,0.2856
b20vehicles_water065,2,0.1187,0.744,0.1022
b7nature_animals_sea000,2,0.3234,0.6694,0.5116
b8vehicles_water015,2,0.8768,0.0906,0.1175
b9vehicles_air015,2,0.7689,0.7178,0.7296
b9vehicles_air016,2,0.2587,0.6293,0.6293
b9vehicles_air018_cropped,2,0.6432,0.3408,0.2708
babyandmom,2,0.6603,0.9293,0.1563
birdhouse_003,2,0.1073,0.3391,0.3184
bi_planes,2,0.7894,0.5975,0.0624
black_and_white,2,0.5821,0.0166,0.0396
black_an_white,2,0.3723,0.098,0.14
boatscn2174,2,0.9111,0.8123,0.3115
by_the_north_sea15,2,0.7356,0.8572,0.3183
chaom69,2,0.9212,0.8978,0.8827
cocotort,2,0.241,0.1926,0.2623
crw_5052,2,0.5955,0.2125,0.0578
decorwall,2,0.7035,0.6242,0.4577
dsc00103_h,2,0.1219,0.5518,0.8916
dscf1479_c,2,0.4966,0.4024,0.1904
dscf3208a,2,0.1955,0.8869,0.8242
dscn0969,2,0.6864,0.3902,0.4613
dscn1205_cropped,2,0.9674,0.9008,0.5286
dscn5449,2,0.8408,0.7266,0.4034
dsc_18501299,2,0.9244,0.9326,0.9326
dsc_7742,2,0.475,0.8724,0.8552
dualwindows,2,0.3155,-0.0323,-0.0353
eagle052607__20_,2,0.8691,0.7645,0.7645
elke_p9270005,2,0.2994,0.3012,0.1949
fair_gforce_003,2,0.8572,0.2351,0.23
fishing_on_water,2,0.2817,0.0512,0.037
footprints10morguejpg,2,0.7826,0.559,0.7343
frankfurt_img_2243,2,0.3535,0.1866,0.1015
frosty_thyme,2,0.0339,0.2545,0.3505
hotblack_20070901_cows,2,0.3923,0.2924,0.4174
hpim0242_cropped,2,-0.0067,0.8263,0.1225
hpim1928,2,0.2953,0.1047,0.1962
imgp1883,2,0.4319,0.0561,0.0547
img_0121,2,0.5279,0.256,0.1958
img_1159_i,2,0.1486,0.6465,0.0502
img_3733_modif,2,0.8125,0.6327,0.058
img_7103r,2,0.337,0.3654,0.357
img_7121sepiar,2,0.901,0.453,0.2508
istambulminaret,2,0.604,0.7219,0.2955
jarndt_100_0021,2,0.418,0.0759,0.309
kata_beach_phuket,2,0.9256,0.1494,0.0948
kumarnm_100_1263,2,0.0393,0.0617,0.016
mf_3379,2,0.8908,0.5556,0.6336
mont_st_michel,2,0.8661,0.2101,0.1093
moon_and_a_tree,2,0.6071,0.544,0.6291
ninetyeight,2,0.8292,0.829,0.7831
nopeeking,2,-0.0174,0.6068,0.5735
p5014757_cropped,2,0.6048,0.4649,0.2399
p5067537,2,0.1894,0.755,0.7234
pb134930,2,0.6017,0.1233,0.0393
pc250176,2,0.2664,0.1005,0.0903
pc302982,2,0.9741,0.9348,0.7979
per__02_cropped,2,0.6634,0.7272,0.0991
photo-026,2,0.4376,0.8997,0.5016
photo_sanary_19-03-05_083,2,0.891,0.507,0.1832
pic1077114394,2,0.9031,0.8556,0.5166
pic108459418417,2,0.6617,0.9348,0.9316
pic108891392790,2,0.6422,0.515,0.3985
pic1091719254143,2,0.0174,-0.0061,0.0033
pic1092554512177,2,0.6202,0.1859,0.1796
reverendb_563667_59178524,2,0.8797,0.9503,0.8557
rollingroscoe__9231871,2,0.8748,0.7358,0.2278
roman-pot-31-01-07-02842,2,0.1725,0.1606,0.0073
sakurag060521_dysn34,2,0.9347,0.7733,0.4423
sh-med-bandages-082404-01,2,0.9272,0.9441,0.9441
sunday_6-24_003,2,0.8323,0.9576,0.9576
swan_and_friend,2,0.6062,0.1498,0.1168
thailand-bangkok-building_02,2,0.9653,0.4441,0.2267
toplessmonument,2,0.2122,0.1319,0.1301
whitby-pier,2,0.6359,0.2401,0.1435
yack1,2,0.8983,0.7918,0.651
yokohm060409_dyjsn266,2,0.7747,0.5428,0.8604
_3076180_cropped,2,0.6873,0.7623,0.7447
_3076180_cropped2,2,0.3025,0.7249,0.7277
_5161812,2,0.4055,0.6751,0.649
_mg_5707,2,0.199,0.9151,0.1175
